# measured over 90 pre-link objects
# symbol	objects_referencing
AsyncRT_DeviceContext_strfree	74
AsyncRT_DeviceContext_release	74
AsyncRT_DeviceContext_create	74
AsyncRT_DeviceContext_synchronize	71
AsyncRT_DeviceContext_createBuffer_async	69
AsyncRT_DeviceBuffer_release	69
AsyncRT_DeviceContext_retain	68
AsyncRT_DeviceContext_deviceApi	68
AsyncRT_DeviceFunction_release	66
AsyncRT_DeviceContext_loadFunction	66
AsyncRT_DeviceContext_id	66
AsyncRT_DeviceContext_enqueueFunctionDirect	66
AsyncRT_DeviceContext_createHostBuffer	55
AsyncRT_DeviceContext_DtoD_async	54
AsyncRT_DeviceBuffer_bytesize	43
AsyncRT_DeviceContext_computeCapability	21
AsyncRT_DeviceBuffer_context	20
AsyncRT_DeviceContext_HtoD_async	14
AsyncRT_DeviceContext_DtoH_async	14
AsyncRT_DeviceContext_createBuffer_owning	12
AsyncRT_DeviceBuffer_retain	12
AsyncRT_DeviceContext_getAttribute	11
AsyncRT_DeviceContext_setMemory_async	10
AsyncRT_DeviceContext_enqueueHostFunctionRange	4
AsyncRT_DeviceContext_deviceName	4
AsyncRT_DeviceContext_isCompatible	3
AsyncRT_DeviceTimer_release	1
AsyncRT_DeviceContext_stopTimer	1
AsyncRT_DeviceContext_startTimer	1
AsyncRT_DeviceContext_enqueueHostFunction	1
AsyncRT_DeviceBuffer_createSubBuffer	1
