target,relevance,outcome,metallibs,perf,tracker_id,note
//max/kernels/test/gpu/basics:lit,generic,NO_STATUS,,,,
//max/kernels/test/gpu/basics:lit.validate_lit_features,generic,PASS,0,,,
//max/kernels/test/gpu/basics:test_accelerator_arch.mojo.test,generic,PASS,1,,,
//max/kernels/test/gpu/basics:test_accelerator_arch_cli.mojo.test,generic,PASS,0,,,
//max/kernels/test/gpu/basics:test_accelerator_arch_cli_kernels.mojo.test,generic,FAIL,0,,,
//max/kernels/test/gpu/basics:test_add_constant.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_amd_format.mojo.test,foreign,NO_STATUS,,,KERN-1377,
//max/kernels/test/gpu/basics:test_arg_contract_adversarial.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_barrier.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_capture_trait_type.mojo.test,excluded,EXCLUDED,,,MOCO-2405,FIXME: MOCO-2405
//max/kernels/test/gpu/basics:test_cast_roundtrip.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_cluster_dims_attribute.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_cluster_sync.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_constant_memory.mojo.test,foreign,NO_STATUS,,,KERN-1377,
//max/kernels/test/gpu/basics:test_convert.mojo.test,generic,FAIL,,,,
//max/kernels/test/gpu/basics:test_debug_assert_gpu_error.mojo.test,excluded,EXCLUDED,,,MOCO-2405,FIXME: MOCO-2405
//max/kernels/test/gpu/basics:test_dim.mojo.test,generic,PASS,1,,,
//max/kernels/test/gpu/basics:test_fast_div.mojo.test,excluded,EXCLUDED,,,MOCO-3587,FIXME: MOCO-3587 — Metal compilation failure (originally wrong FastDiv remainder)
//max/kernels/test/gpu/basics:test_fast_div_ptx.mojo.test,generic,FAIL,,,,
//max/kernels/test/gpu/basics:test_function_mts.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_gpu_mem_alloc_validation.mojo.test,generic,NO_STATUS,1,,,
//max/kernels/test/gpu/basics:test_grid_dependence_control.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_grid_dim.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_has_amd_gpu.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_has_nvidia_gpu.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_has_sm100_or_newer.mojo.test,generic,PASS,0,,,
//max/kernels/test/gpu/basics:test_id.mojo.test,generic,PASS,3,,,
//max/kernels/test/gpu/basics:test_info.mojo.test,generic,PASS,1,,,
//max/kernels/test/gpu/basics:test_init_vector_gpu.mojo.test,excluded,EXCLUDED,,,KERN-2360,FIXME: KERN-2360 - MetalAIRPass address space propagation bug
//max/kernels/test/gpu/basics:test_invariant_load.mojo.test,generic,FAIL,,,,
//max/kernels/test/gpu/basics:test_is_sm90.mojo.test,generic,FAIL,,,,
//max/kernels/test/gpu/basics:test_kernel_with_list.mojo.test,foreign,NO_STATUS,,,KERN-1377,
//max/kernels/test/gpu/basics:test_laneid.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/basics:test_launch_binary.mojo.test,excluded,EXCLUDED,,,,Requires metallib tool which may not be available on Mac
//max/kernels/test/gpu/basics:test_load_width_codegen.mojo.test,generic,FAIL,,,,
//max/kernels/test/gpu/basics:test_metal_print.mojo.test,apple,NO_STATUS,0,,,
//max/kernels/test/gpu/basics:test_prefix_sum.mojo.test,excluded,EXCLUDED,,,,FIXME: llvm.ctlz intrinsic not evaluating at compile time on macOS
//max/kernels/test/gpu/basics:test_print.mojo.test,excluded,EXCLUDED,,,MOCO-2405,FIXME: MOCO-2405
//max/kernels/test/gpu/basics:test_print_elementwise.mojo.test,excluded,EXCLUDED,,,MOCO-2366,FIXME: MOCO-2366
//max/kernels/test/gpu/basics:test_printf.mojo.test,excluded,EXCLUDED,,,MOCO-2405,FIXME: MOCO-2405
//max/kernels/test/gpu/basics:test_producer_consumer.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_random.mojo.test,generic,PASS,5,,,
//max/kernels/test/gpu/basics:test_semaphore.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_shuffle.mojo.test,excluded,EXCLUDED,,,,FIXME: llvm.ctlz intrinsic not evaluating at compile time on macOS
//max/kernels/test/gpu/basics:test_simd_reduction.mojo.test,excluded,EXCLUDED,,,,FIXME: llvm.ctlz intrinsic not evaluating at compile time on macOS
//max/kernels/test/gpu/basics:test_sleep.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_static_layout_capture_argcount.mojo.test,generic,PASS,5,,,
//max/kernels/test/gpu/basics:test_strided_load.mojo.test,excluded,EXCLUDED,,,MOCO-3878,FIXME: MOCO-3878 — Metal IR does not contain @llvm.masked.gather
//max/kernels/test/gpu/basics:test_sum.mojo.test,generic,PASS,3,,,
//max/kernels/test/gpu/basics:test_sync.mojo.test,generic,NO_STATUS,0,,,
//max/kernels/test/gpu/basics:test_targetinfo.mojo.test,generic,PASS,1,,,
//max/kernels/test/gpu/basics:test_tbc_launch_config.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_tcgen05.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_tensor_core_fp8_mma_sync.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_verify_buffers_gpu.mojo.test,excluded,EXCLUDED,,,,Uses block.sum/block.max (llvm.ctlz issue)
//max/kernels/test/gpu/basics:test_wmma.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/basics:test_wmma_amd.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/cluster:test_cluster.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_allgather.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_allgather_rmsnorm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_allgather_rmsnorm_mxfp8.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_allreduce.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_allreduce_determinism.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_allreduce_residual_rmsnorm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_broadcast.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_broadcast_subgroup.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_fused_lamport_rmsnorm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_lamport_allreduce.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_lamport_pingpong.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_multimem_allreduce.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_multimem_reducescatter.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_p2p_copy.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_p2p_ep_combine.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_p2p_ep_dispatch.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_p2p_ep_skip_a2a.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_reducescatter.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_reducescatter_rmsnorm.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/comm:test_scatter.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compile:lit,generic,NO_STATUS,,,,
//max/kernels/test/gpu/compile:lit.validate_lit_features,generic,PASS,0,,,
//max/kernels/test/gpu/compile:test_air_overload_symbols.mojo.test,apple,PASS,0,,,
//max/kernels/test/gpu/compile:test_air_target_profile.mojo.test,apple,PASS,0,,,
//max/kernels/test/gpu/compile:test_amd_asan_oob.mojo.test,generic,PASS,0,,,
//max/kernels/test/gpu/compile:test_amd_block_sync_lds.mojo.test,generic,FAIL,0,,,
//max/kernels/test/gpu/compile:test_amd_target.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/compile:test_compile_gcn.mojo.test,generic,NO_STATUS,0,,,
//max/kernels/test/gpu/compile:test_compile_nvptx.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/compile:test_compile_nvptx_debuginfo.mojo.test,generic,NO_STATUS,0,,,
